,name,company,year,Price,kms_driven,fuel_type
1390,BMW 3 Series 320d Luxury Line,BMW,2013,2200000,30000,Diesel
1391,Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,428000,70707,Diesel
1392,Renault Duster 85PS Diesel RxL,Renault,2015,567000,64677,Diesel
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2018,620000,3000,Petrol
1394,BMW X1 sDrive20d,BMW,2013,1449000,49000,Diesel
1395,Maruti Ritz VDi,Maruti,2010,300000,71000,Diesel
1396,Hyundai i10 Era 1.1 iTech SE,Hyundai,2010,225000,52000,Petrol
1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,2016,4378000,35659,Diesel
1398,Honda City V MT Exclusive,Honda,2019,1145000,5377,Petrol
1399,Mahindra Ssangyong Rexton RX7,Mahindra,2014,1050000,65000,Diesel
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,2015,748000,92708,Diesel
1401,Maruti Alto LXi,Maruti,2010,310000,48105,Petrol
1402,Volkswagen Polo 1.2 MPI Highline,Volkswagen,2011,254999,46759,Petrol
1403,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,2013,350000,62000,Diesel
1404,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2012,259000,35175,Diesel
1405,Maruti Ertiga ZDI,Maruti,2013,545000,70000,Diesel
1406,Ford EcoSport 1.5 TDCi Ambiente,Ford,2017,600000,30000,Diesel
1407,Toyota Innova Crysta 2.8 ZX AT,Toyota,2016,1549000,66618,Diesel
1408,BMW 5 Series 523i Sedan,BMW,2010,1250000,69300,Petrol
1409,Maruti Swift Dzire Tour LDI,Maruti,2017,475000,148000,Diesel
1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Ford,2017,785000,22000,Petrol
1411,Hyundai Verna CRDi SX,Hyundai,2013,600000,75000,Diesel
1412,Tata Zest Revotron 1.2T XM,Tata,2016,400000,43706,Petrol
1413,Audi A7 2011-2015 3.0 TDI Quattro,Audi,2011,2875000,42000,Diesel
1414,Tata Indica Vista Quadrajet VX,Tata,2012,250000,65000,Diesel
1415,Maruti Swift Dzire VDI,Maruti,2015,550000,76128,Diesel
1416,Fiat Linea Emotion,Fiat,2010,159000,39852,Petrol
1417,Hyundai i20 1.2 Spotz,Hyundai,2017,622000,18673,Petrol
1418,Hyundai EON Era Plus,Hyundai,2016,275000,11583,Petrol
1419,Hyundai Santro Xing XL,Hyundai,2007,135000,82000,Petrol
1420,Mercedes-Benz GLA Class 200 CDI SPORT,Mercedes-Benz,2017,2500000,50000,Diesel
1421,Maruti Celerio VXI,Maruti,2014,280000,77000,Petrol
1422,Chevrolet Beat LT,Chevrolet,2014,245000,54890,Petrol
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Honda,2016,635000,21000,Petrol
1424,BMW 3 Series 320d Highline,BMW,2009,800000,58557,Diesel
1425,Renault Duster 110PS Diesel RxL,Renault,2014,825000,70000,Diesel
1426,Ford Figo 2015-2019 1.5P Titanium AT,Ford,2017,595000,16000,Petrol
1427,Toyota Innova Crysta 2.4 VX MT,Toyota,2018,1992000,8899,Diesel
1428,Chevrolet Beat Diesel LS,Chevrolet,2016,315000,83629,Diesel
1429,Volkswagen Polo GTI,Volkswagen,2014,575000,35059,Petrol
1430,Ford Endeavour 3.2 Trend AT 4X4,Ford,2018,3244000,30552,Diesel
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,2016,801000,44875,Diesel
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Ford,2017,648000,25095,Petrol
1433,Maruti 800 AC,Maruti,2007,75000,59000,Petrol
1434,Honda City i DTEC V,Honda,2014,500000,36000,Diesel
1435,Mahindra XUV500 W8 2WD,Mahindra,2012,775000,37000,Diesel
1436,Ford Figo Diesel ZXI,Ford,2010,260000,90000,Diesel
1437,Ford EcoSport 1.5 Petrol Titanium,Ford,2018,919999,17000,Petrol
1438,Hyundai i20 Asta 1.2,Hyundai,2015,505000,42575,Petrol
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2012,960000,131000,Diesel
1440,Renault Duster 85PS Diesel RxL Optional,Renault,2013,550000,74000,Diesel
1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2013,935000,47234,Diesel
1442,Honda City 1.5 S MT,Honda,2009,260000,231673,Petrol
1443,Maruti Alto K10 VXI,Maruti,2016,350000,10000,Petrol
1444,Nissan Micra Active XL Petrol,Nissan,2016,426000,49389,Petrol
1445,Maruti Celerio VXI AT,Maruti,2016,425000,12000,Petrol
1446,Mercedes-Benz New C-Class 200 Kompressor,Mercedes-Benz,2010,1175000,65000,Petrol
1447,Ford Fiesta Diesel Style,Ford,2013,350000,177000,Diesel
1448,Hyundai Verna 1.6 VTVT S,Hyundai,2015,750000,89000,Petrol
1449,Hyundai i20 1.4 Asta (AT),Hyundai,2009,325000,72000,Petrol
1450,Maruti Swift Dzire VXi,Maruti,2012,490000,49000,Petrol
1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Mercedes-Benz,2014,2700000,51355,Diesel
1452,Hyundai Elite i20 Petrol Asta,Hyundai,2017,891000,13460,Petrol
1453,Hyundai Verna 1.6 VTVT EX AT,Hyundai,2014,669000,35642,Petrol
1454,Chevrolet Cruze LTZ,Chevrolet,2014,602000,52895,Diesel
1455,Toyota Corolla Altis 1.8 G,Toyota,2010,450000,93000,Petrol
1456,Maruti A-Star Vxi,Maruti,2011,200000,70000,Petrol
1457,Nissan Micra Diesel XV Premium,Nissan,2012,240000,32048,Diesel
1458,Tata Nano LX,Tata,2013,120000,4700,Petrol
1459,Maruti Swift Dzire Tour LDI,Maruti,2014,290000,71800,Diesel
1460,Land Rover Range Rover Sport 2005 2012 Sport,Land,2008,4088000,69078,Petrol
1461,Audi Q3 2.0 TDI Quattro,Audi,2016,2700000,45000,Diesel
1462,Honda Amaze VX i-DTEC,Honda,2016,750000,15388,Diesel
1463,Chevrolet Optra 1.6 LS,Chevrolet,2004,150000,98798,Petrol
1464,Audi Q5 2.0 TDI Premium Plus,Audi,2016,3950000,43000,Diesel
1465,Maruti Ritz VDi,Maruti,2012,339000,85112,Diesel
1466,Mahindra Scorpio S6 7 Seater,Mahindra,2018,1240000,37804,Diesel
1467,Maruti Ciaz ZDi SHVS,Maruti,2014,685000,45000,Diesel
1468,Toyota Corolla Altis Aero D 4D J,Toyota,2011,575000,116000,Diesel
1469,Tata Indica V2 eLS,Tata,2015,200000,100073,Diesel
1470,Maruti 800 Std BSIII,Maruti,2006,90000,165000,Petrol
1471,Volkswagen Polo 1.2 MPI Highline,Volkswagen,2015,380000,22000,Petrol
1472,Hyundai Elantra 2.0 SX Option AT,Hyundai,2017,1635000,9500,Petrol
1473,Toyota Fortuner 4x2 4 Speed AT,Toyota,2012,1650000,152000,Diesel
1474,Maruti Baleno Zeta 1.2,Maruti,2019,869999,17705,Petrol
1475,Maruti Baleno Zeta 1.2,Maruti,2016,610000,12000,Petrol
1476,Mini Cooper Countryman D,Mini,2013,2194000,51000,Diesel
1477,Mercedes-Benz S Class 2005 2013 320 CDI,Mercedes-Benz,2009,2200000,42000,Diesel
1478,Maruti Alto K10 LXI,Maruti,2015,265000,51000,Petrol
1479,Maruti Swift VXI Optional,Maruti,2017,527000,42527,Petrol
1480,Chevrolet Sail LT ABS,Chevrolet,2014,248000,45000,Diesel
1481,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2011,600000,70000,Diesel
1482,Toyota Fortuner 3.0 Diesel,Toyota,2009,890000,92000,Diesel
1483,BMW 3 Series 320d Sport Line,BMW,2012,1800000,57156,Diesel
1484,Skoda Octavia Ambition 1.4 TSI MT,Skoda,2016,1164000,53211,Petrol
1485,Toyota Fortuner 3.0 Diesel,Toyota,2019,899000,80000,Diesel
1486,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,2009,525000,74000,Diesel
1487,Hyundai i20 1.4 CRDi Asta,Hyundai,2011,295000,37000,Diesel
1488,Tata Manza Club Class Quadrajet90 LX,Tata,2013,265000,64000,Diesel
1489,Volkswagen Vento Petrol Highline,Volkswagen,2013,400000,57197,Petrol
1490,Hyundai Creta 1.6 SX Automatic Diesel,Hyundai,2016,1250000,55000,Diesel
1491,Maruti Ritz VXI,Maruti,2014,325000,33000,Petrol
1492,Honda CR-V 2.0L 2WD MT,Honda,2008,400000,70000,Petrol
1493,Mahindra XUV500 W8 2WD,Mahindra,2012,625000,75000,Diesel
1494,Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,2016,580000,58095,Diesel
1495,Tata Zest Revotron 1.2 XT,Tata,2015,500000,7445,Petrol
1496,Jaguar XJ 3.0L Portfolio LWB,Jaguar,2016,5873000,17652,Diesel
1497,Toyota Corolla Altis 1.8 VL CVT,Toyota,2018,1748999,28321,Petrol
1498,Maruti A-Star Vxi,Maruti,2011,195000,69000,Petrol
1499,Honda Accord VTi-L (AT),Honda,2007,300000,80000,Petrol
1500,Hyundai i20 Asta (o),Hyundai,2014,550000,42365,Petrol
1501,Toyota Fortuner 4x2 AT,Toyota,2013,1650000,123000,Diesel
1502,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedes-Benz,2011,1450000,40000,Petrol
1503,Maruti Baleno Alpha 1.3,Maruti,2016,779000,30112,Diesel
1504,Maruti Ertiga VDI,Maruti,2017,827000,43775,Diesel
1505,Land Rover Range Rover Sport SE,Land,2019,9707000,26013,Diesel
1506,Chevrolet Optra Magnum 1.6 LT ABS BS3,Chevrolet,2012,215000,56000,Petrol
1507,Honda Civic 2006-2010 1.8 V AT,Honda,2008,300000,95000,Petrol
1508,BMW X3 xDrive20d,BMW,2014,2879000,41089,Diesel
1509,Skoda Laura Ambition 2.0 TDI CR AT,Skoda,2011,545000,41988,Diesel
1510,Maruti Swift Dzire VDI,Maruti,2013,395000,72486,Diesel
1511,Volvo V40 Cross Country D3,Volvo,2013,1600000,92000,Diesel
1512,Maruti Swift Dzire ZXi,Maruti,2013,425000,40000,Petrol
1513,Land Rover Range Rover 2.2L Pure,Land,2014,3450000,56000,Diesel
1514,Honda Accord 2.4 AT,Honda,2008,260000,125000,Petrol
1515,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2017,1348000,29219,Diesel
1516,Toyota Fortuner 4x4 MT,Toyota,2018,3210000,39927,Diesel
1517,Honda Jazz 1.2 E i VTEC,Honda,2018,617000,38593,Petrol
1518,Honda City 1.5 V MT,Honda,2015,550000,32000,Petrol
1519,Maruti Dzire AMT ZDI Plus,Maruti,2017,915000,28226,Diesel
1520,Nissan Sunny 2011-2014 Diesel XL,Nissan,2014,450000,95000,Diesel
1521,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2014,1050000,194000,Diesel
1522,Honda Brio S MT,Honda,2016,537000,14821,Petrol
1523,Volkswagen Vento Petrol Trendline,Volkswagen,2012,545000,52000,Petrol
1524,Mahindra XUV500 W4,Mahindra,2016,925000,33000,Diesel
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Ford,2016,770000,29200,Diesel
1526,Skoda Yeti Ambition 4X2,Skoda,2012,799000,99754,Diesel
1527,Hyundai i10 Sportz,Hyundai,2012,300000,49000,Petrol
1528,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2005,400000,299322,Diesel
1529,Tata Zest Quadrajet 1.3 XT,Tata,2018,669000,38310,Diesel
1530,Maruti Swift VDI,Maruti,2014,425000,56000,Diesel
1531,Skoda Rapid 1.5 TDI AT Style,Skoda,2017,1050000,31300,Diesel
1532,Toyota Innova Crysta 2.4 VX MT 8S,Toyota,2019,2255000,11241,Diesel
1533,Hyundai Verna 1.6 SX VTVT,Hyundai,2014,520000,48000,Petrol
1534,Honda City i VTEC VX Option,Honda,2019,1187000,23882,Petrol
1535,Honda City i DTEC SV,Honda,2014,699000,65000,Diesel
1536,Volkswagen Vento Diesel Highline,Volkswagen,2011,500000,50000,Diesel
1537,Audi Q5 2008-2012 3.0 TDI,Audi,2014,4400000,25000,Diesel
1538,Maruti Alto 800 LXI,Maruti,2015,279000,21000,Petrol
1539,Tata Manza ELAN Quadrajet BS IV,Tata,2012,290000,148000,Diesel
1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Hyundai,2016,985000,68000,Petrol
1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Mercedes-Benz,2014,4900000,52000,Diesel
1542,Mahindra Thar CRDe,Mahindra,2016,925000,19000,Diesel
1543,Hyundai Verna 1.6 CRDI,Hyundai,2011,375000,74000,Diesel
1544,Ford Aspire Titanium Diesel,Ford,2017,729000,30279,Diesel
1545,Mini Cooper 3 DOOR D,Mini,2016,2350000,20000,Diesel
1546,Maruti Omni 8 Seater BSIV,Maruti,2013,260000,34834,Petrol
1547,Mahindra Verito 1.5 D4 BSIV,Mahindra,2015,310000,90000,Diesel
1548,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mercedes-Benz,2016,2998000,38730,Diesel
1549,Renault Duster 110PS Diesel RxZ,Renault,2016,673000,57390,Diesel
1550,Maruti Swift Dzire Tour LDI,Maruti,2016,350000,100000,Diesel
1551,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2011,235000,50000,Petrol
1552,Mahindra XUV500 W10 2WD,Mahindra,2017,1613000,64961,Diesel
1553,Volkswagen Polo 1.2 MPI Highline,Volkswagen,2014,590000,72465,Petrol
1554,Maruti Ritz VXI,Maruti,2012,390000,68776,Petrol
1555,Chevrolet Optra 1.6 Elite,Chevrolet,2005,150000,150000,Petrol
1556,Toyota Innova 2.5 GX 7 STR BSIV,Toyota,2012,695000,68000,Diesel
1557,Honda City i DTec SV,Honda,2015,700000,33000,Diesel
1558,Volkswagen Ameo 1.2 MPI Highline,Volkswagen,2017,723000,22389,Petrol
1559,Maruti SX4 ZDI Leather,Maruti,2012,381000,90000,Diesel
1560,Maruti Swift ZXI,Maruti,2012,450000,42000,Petrol
1561,Hyundai Creta 1.6 CRDi SX,Hyundai,2017,1260000,38767,Diesel
1562,Audi Q7 35 TDI Quattro Technology,Audi,2015,4800000,21000,Diesel
1563,Maruti Alto LXi BSIII,Maruti,2010,296000,59136,Petrol
1564,Honda Amaze SX i-DTEC,Honda,2014,325000,36000,Diesel
1565,Volkswagen Passat Diesel Highline 2.0 TDI,Volkswagen,2011,850000,95000,Diesel
1566,Hyundai Elantra CRDi SX AT,Hyundai,2013,875000,51000,Diesel
1567,Maruti Wagon R VXI BS IV,Maruti,2011,308000,36411,Petrol
1568,Land Rover Discovery Sport TD4 HSE 7S,Land,2017,4150000,40000,Diesel
1569,Honda City i VTEC SV,Honda,2016,700000,27300,Petrol
1570,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Mercedes-Benz,2011,1150000,29813,Petrol
1571,Maruti Wagon R LX BS IV,Maruti,2011,260000,71000,Petrol
1572,Hyundai Verna 1.6 CRDI,Hyundai,2014,430000,32000,Diesel
1573,Maruti Ertiga VXI CNG,Maruti,2017,835000,19234,CNG
1574,Volkswagen Tiguan 2.0 TDI Highline,Volkswagen,2017,2490000,50510,Diesel
1575,BMW X1 sDrive 20d Exclusive,BMW,2011,1375000,102000,Diesel
1576,Hyundai Grand i10 1.2 CRDi Sportz Option,Hyundai,2014,385000,42277,Diesel
1577,Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz,2014,2325000,46000,Diesel
1578,Mahindra Bolero ZLX,Mahindra,2012,700000,35000,Diesel
1579,Hyundai Grand i10 Asta Option,Hyundai,2015,575000,50000,Petrol
1580,Hyundai i10 Magna 1.2,Hyundai,2008,165000,62000,Petrol
1581,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Volkswagen,2012,650000,78000,Diesel
1582,Skoda Yeti Elegance,Skoda,2011,750000,79000,Diesel
1583,Audi Q7 45 TDI Quattro Premium Plus,Audi,2019,7294000,6773,Diesel
1584,Toyota Fortuner 3.0 Diesel,Toyota,2010,1100000,135000,Diesel
1585,Maruti Wagon R VXI Minor ABS,Maruti,2013,302000,36716,Petrol
1586,Hyundai EON Era,Hyundai,2013,332000,65060,Petrol
1587,Honda Brio S MT,Honda,2013,324000,33000,Petrol
1588,Maruti Alto 800 VXI,Maruti,2015,235000,11110,Petrol
1589,Mahindra Bolero ZLX,Mahindra,2013,550000,63000,Diesel
1590,Honda City i VTEC SV,Honda,2015,675000,27030,Petrol
1591,Skoda Rapid 1.6 MPI Elegance Black Package,Skoda,2015,615000,19600,Petrol
1592,Maruti Swift VVT VXI,Maruti,2016,545000,27755,Petrol
1593,Hyundai EON Magna Plus,Hyundai,2013,229999,20000,Petrol
1594,Maruti Swift Dzire ZXI,Maruti,2015,621000,24782,Petrol
1595,Nissan Micra XV CVT,Nissan,2014,521000,47303,Petrol
1596,Audi Q7 4.2 FSI quattro,Audi,2008,1199000,71000,Petrol
1597,Maruti Swift Vdi BSIII,Maruti,2010,310000,135000,Diesel
1598,Tata Xenon XT EX 4X2,Tata,2017,750000,1000,Diesel
1599,Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,2016,400000,29000,Diesel
1600,Honda City i VTEC SV,Honda,2016,773000,36367,Petrol
1601,Honda City i VTEC V,Honda,2015,780000,38000,Petrol
1602,Maruti 800 AC BSIII,Maruti,2011,130000,83969,Petrol
1603,Volkswagen Polo 1.5 TDI Trendline,Volkswagen,2014,442000,82621,Diesel
1604,Chevrolet Captiva LTZ VCDi,Chevrolet,2009,400000,89000,Diesel
1605,Mahindra XUV500 W10 2WD,Mahindra,2016,1300000,54000,Diesel
1606,Honda Amaze VX i-DTEC,Honda,2015,538000,61691,Diesel
1607,Hyundai i20 1.2 Sportz Option,Hyundai,2011,325000,32200,Petrol
1608,Maruti Wagon R AMT VXI,Maruti,2016,387000,68630,Petrol
1609,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Volkswagen,2014,825000,61000,Diesel
1610,Maruti Ciaz 1.4 Zeta,Maruti,2018,927999,32644,Petrol
1611,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Mahindra,2012,625000,85000,Diesel
1612,Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2008,114999,75000,Petrol
1613,Maruti Ciaz ZXi Option,Maruti,2016,780000,40347,Petrol
1614,Hyundai i20 1.4 CRDi Asta,Hyundai,2012,450000,60788,Diesel
1615,Honda Jazz 1.2 SV i VTEC,Honda,2018,756000,18664,Petrol
1616,Mahindra XUV500 W10 2WD,Mahindra,2017,1607999,57847,Diesel
1617,Hyundai i20 1.2 Sportz,Hyundai,2012,450000,52237,Petrol
1618,Hyundai Verna 1.6 SX,Hyundai,2012,500000,128000,Diesel
1619,Hyundai i10 Era 1.1,Hyundai,2011,220000,54000,Petrol
1620,Maruti Celerio VXI AT,Maruti,2014,400000,49800,Petrol
1621,Skoda Fabia 1.2 TDI Ambition,Skoda,2012,250999,98000,Diesel
1622,Maruti Swift VDI BSIV,Maruti,2015,475000,60095,Diesel
1623,Hyundai i10 Magna(O) with Sun Roof,Hyundai,2008,200000,68000,Petrol
1624,Hyundai i10 Magna 1.2,Hyundai,2010,210000,81402,Petrol
1625,Ford Ecosport 1.5 Ti VCT AT Titanium,Ford,2013,625000,38000,Petrol
1626,Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,Mercedes-Benz,2011,1060000,92239,Diesel
1627,Maruti Swift VDI BSIV,Maruti,2017,600000,49224,Diesel
1628,Maruti 800 Std BSIII,Maruti,2004,45000,12000,Petrol
1629,Maruti Swift Lxi BSIII,Maruti,2010,250000,54898,Petrol
1630,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Hyundai,2018,1275000,2500,Petrol
1631,BMW X1 M Sport sDrive 20d,BMW,2017,3029000,32838,Diesel
1632,Ford Ikon 1.3 Flair,Ford,2006,160000,27076,Petrol
1633,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,2017,754000,75445,Diesel
1634,Maruti Ciaz VXi Plus,Maruti,2015,684000,46601,Petrol
1635,Volkswagen Passat Diesel Highline 2.0 TDI,Volkswagen,2012,600000,72000,Diesel
1636,Honda Jazz 1.5 VX i DTEC,Honda,2017,800000,27000,Diesel
1637,Audi A4 35 TDI Premium,Audi,2016,2474000,68193,Diesel
1638,Hyundai Grand i10 CRDi Sportz Celebration Edition,Hyundai,2017,550000,34429,Diesel
1639,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Mercedes-Benz,2013,3600000,46000,Diesel
1640,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2013,1179000,80544,Diesel
1641,Nissan Sunny 2011-2014 XL,Nissan,2011,300000,42000,Petrol
1642,Skoda Laura Ambiente 2.0 TDI CR AT,Skoda,2011,675000,94821,Diesel
1643,Chevrolet Aveo 1.4 LS,Chevrolet,2006,140000,100000,Petrol
1644,Honda Mobilio V i DTEC,Honda,2014,575000,57000,Diesel
1645,Maruti Ritz VDi,Maruti,2010,340000,79894,Diesel
1646,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2011,488999,44748,Petrol
1647,Nissan Terrano XL,Nissan,2013,495000,31000,Petrol
1648,Maruti A-Star AT Vxi Aktiv,Maruti,2013,349000,60587,Petrol
1649,Toyota Etios Liva GD,Toyota,2011,385000,32000,Diesel
1650,Honda City 1.5 S MT,Honda,2014,635000,43772,Petrol
1651,Hyundai Grand i10 AT Asta,Hyundai,2017,708000,23576,Petrol
1652,Jaguar XE 2.0L Diesel Prestige,Jaguar,2017,3800000,4000,Diesel
1653,Mahindra Scorpio VLX,Mahindra,2012,625000,62000,Diesel
1654,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mercedes-Benz,2011,1015000,36000,Petrol
1655,Skoda Superb Elegance 1.8 TSI AT,Skoda,2014,1075000,80000,Petrol
1656,Chevrolet Cruze LTZ AT,Chevrolet,2012,465000,137008,Diesel
1657,Mahindra Scorpio VLX,Mahindra,2010,475000,61001,Diesel
1658,Hyundai Verna 1.6 SX VTVT (O),Hyundai,2015,778000,52191,Petrol
1659,Hyundai i20 1.4 Asta CRDi with AVN,Hyundai,2016,675000,77076,Diesel
1660,Honda City ZX CVT,Honda,2008,299000,56000,Petrol
1661,Hyundai i10 Magna,Hyundai,2013,235000,21000,Petrol
1662,Honda Amaze S i-Dtech,Honda,2013,365000,89429,Diesel
1663,Maruti Wagon R LXI,Maruti,2012,274000,45631,Petrol
1664,Honda Brio S MT,Honda,2013,350000,53959,Petrol
1665,Hyundai i20 1.2 Sportz Option,Hyundai,2014,476000,55804,Petrol
1666,Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,2016,620000,25899,Petrol
1667,Skoda Octavia Rider 1.9 TDI MT,Skoda,2008,235000,82000,Diesel
1668,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mercedes-Benz,2014,2450000,52000,Diesel
1669,Renault Duster Petrol RxL,Renault,2013,600000,20000,Petrol
1670,Hyundai EON Sportz,Hyundai,2017,365000,31829,Petrol
1671,Maruti Swift VXI,Maruti,2016,626000,18094,Petrol
1672,Nissan Micra Diesel,Nissan,2011,210000,80000,Diesel
1673,Audi Q5 3.0 TDI Quattro Technology,Audi,2015,3295000,11964,Diesel
1674,Hyundai i20 1.2 Spotz,Hyundai,2018,780000,22684,Petrol
1675,Honda Brio S MT,Honda,2014,425000,43521,Petrol
1676,Maruti Swift Dzire ZXi,Maruti,2014,486000,49386,Petrol
1677,Hyundai Grand i10 1.2 Kappa Magna,Hyundai,2017,490000,12248,Petrol
1678,Mahindra Xylo E8 ABS BS IV,Mahindra,2014,706000,67771,Diesel
1679,Volkswagen Polo GTI,Volkswagen,2015,450000,60007,Petrol
1680,Maruti Alto K10 VXI,Maruti,2011,322000,48624,Petrol
1681,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,2014,325000,30000,Diesel
1682,Hyundai Grand i10 Sportz,Hyundai,2016,453000,81605,Petrol
1683,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mercedes-Benz,2017,3478000,32642,Diesel
1684,Hyundai Verna 1.6 SX VTVT AT,Hyundai,2014,650000,34200,Petrol
1685,Fiat Punto EVO 1.2 Emotion,Fiat,2010,225000,72204,Petrol
1686,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Toyota,2011,800000,156347,Diesel
1687,Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Mahindra,2017,836999,47357,Diesel
1688,Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,2015,539000,61738,Diesel
1689,BMW 5 Series 520d Luxury Line,BMW,2018,3729999,32586,Diesel
1690,Mercedes-Benz GLE 350d,Mercedes-Benz,2018,7080000,40129,Diesel
1691,Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz,2012,2225000,51000,Diesel
1692,Hyundai Grand i10 1.2 Kappa Sportz,Hyundai,2018,603000,10393,Petrol
1693,Skoda Superb Elegance 1.8 TSI AT,Skoda,2011,490000,46000,Petrol
1694,Hyundai i10 Sportz AT,Hyundai,2013,396000,21000,Petrol
1695,Hyundai i20 1.4 CRDi Asta,Hyundai,2011,459999,113562,Diesel
1696,Mahindra Scorpio VLX,Mahindra,2011,550000,100010,Diesel
1697,Honda Brio V MT,Honda,2013,325000,63107,Petrol
1698,Hyundai i20 1.2 Magna Executive,Hyundai,2017,625000,58500,Petrol
1699,Ford Endeavour 4x2 XLT Limited Edition,Ford,2007,300000,90000,Diesel
1700,Hyundai Verna CRDi SX,Hyundai,2011,425000,108242,Diesel
1701,Toyota Fortuner 3.0 Diesel,Toyota,2011,1225000,146300,Diesel
1702,BMW X1 sDrive20d,BMW,2011,1095000,62943,Diesel
1703,Toyota Fortuner 4x2 AT,Toyota,2013,1650000,65000,Diesel
1704,Honda Amaze V CVT Petrol,Honda,2018,780000,1700,Petrol
1705,Hyundai i10 Era 1.1,Hyundai,2013,370000,34697,Petrol
1706,Hyundai i20 1.2 Sportz,Hyundai,2012,400000,58000,Petrol
1707,BMW 3 Series 320d GT Luxury Line,BMW,2015,2675000,32500,Diesel
1708,Audi Q3 35 TDI Quattro Premium Plus,Audi,2016,2803000,58661,Diesel
1709,Maruti Swift VXI Optional,Maruti,2017,544000,37124,Petrol
1710,Maruti Baleno Delta Automatic,Maruti,2017,620000,44000,Petrol
1711,Hyundai Accent GLE,Hyundai,2005,90000,45200,Petrol
1712,Maruti Ritz LXi,Maruti,2016,395000,11000,Petrol
1713,Tata Nano Lx,Tata,2011,44000,65000,Petrol
1714,Ford Figo Diesel EXI,Ford,2012,275000,55005,Diesel
1715,Volkswagen Passat Diesel Highline 2.0 TDI,Volkswagen,2011,750000,81650,Diesel
1716,Fiat Linea Emotion Pack (Diesel),Fiat,2010,250000,160000,Diesel
1717,Mahindra Xylo D4,Mahindra,2015,500000,169000,Diesel
1718,Maruti Wagon R VXI,Maruti,2013,360000,67263,Petrol
1719,Toyota Etios G Safety,Toyota,2012,399000,44223,Petrol
1720,Hyundai Grand i10 Sportz,Hyundai,2015,564000,36840,Petrol
1721,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Toyota,2014,1200000,160000,Diesel
1722,Tata Indica V2 DLS TC,Tata,2008,70000,133000,Diesel
1723,BMW 3 Series 320d Sport Line,BMW,2015,1900000,69123,Diesel
1724,Ford Endeavour 3.2 Titanium AT 4X4,Ford,2017,3048000,38000,Diesel
1725,Maruti Ciaz Zeta,Maruti,2017,819999,5500,Petrol
1726,Ford Figo 1.5D Titanium Plus MT,Ford,2015,755000,1001,Diesel
1727,Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2007,99000,59000,Petrol
1728,Honda City 1.5 V AT,Honda,2011,415000,78256,Petrol
